,AGE,JOB,MARITAL,EDUCATION,DEFAULT,HOUSING,LOAN,CONTACT,MONTH,DAY_OF_WEEK,DURATION,CAMPAIGN,PDAYS,PREVIOUS,POUTCOME,EMP_VAR_RATE,CONS_PRICE_IDX,CONS_CONF_IDX,EURIBOR3M,NUM_EMPLOYEES,Y,EDU_ENCODED
1087,41,SERVICES,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,TELEPHONE,5,MON,679.0,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,1,4
1088,39,SELF EMPLOYED,DIVORCED,HIGH SCHOOL,NO,NO,NO,CELLULAR,9,TUE,261.0,1.0,3,1,SUCCESS,-3.4,92.37899999999999,-29.8,0.7879999999999999,5017.5,1,4
1089,48,ADMIN ,DIVORCED,HIGH SCHOOL,NO,NO,NO,TELEPHONE,7,MON,352.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.96,5228.1,0,4
1090,32,BLUE COLLAR,MARRIED,BASIC 6Y,NO,YES,NO,TELEPHONE,6,FRI,16.0,6.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,0,2
1091,35,BLUE COLLAR,MARRIED,BASIC 6Y,NO,NO,NO,TELEPHONE,5,WED,39.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2
1092,51,BLUE COLLAR,MARRIED,BASIC 9Y,UNKNOWN,YES,NO,CELLULAR,8,TUE,107.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.966,5228.1,0,3
1093,35,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,5,MON,8.0,5.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,5
1094,60,BLUE COLLAR,MARRIED,BASIC 4Y,UNKNOWN,YES,NO,CELLULAR,4,MON,18.0,4.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.405,5099.1,0,1
1095,28,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,NO,YES,CELLULAR,7,FRI,94.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.963,5228.1,0,5
1096,52,MANAGEMENT,MARRIED,HIGH SCHOOL,NO,YES,YES,CELLULAR,8,TUE,167.0,1.0,10,4,FAILURE,-2.9,92.20100000000001,-31.4,0.883,5076.2,1,4
1097,35,BLUE COLLAR,MARRIED,BASIC 9Y,NO,NO,NO,TELEPHONE,6,TUE,497.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,0,3
1098,27,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,5,TUE,134.0,1.0,3,1,SUCCESS,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,5
1099,34,TECHNICIAN,MARRIED,HIGH SCHOOL,NO,NO,NO,CELLULAR,7,THU,481.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.963,5228.1,0,4
1100,36,BLUE COLLAR,MARRIED,BASIC 4Y,NO,NO,YES,CELLULAR,11,WED,217.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.12,5195.8,0,1
1101,28,BLUE COLLAR,MARRIED,BASIC 9Y,UNKNOWN,NO,NO,TELEPHONE,5,THU,140.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.86,5191.0,0,3
1102,32,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,YES,TELEPHONE,5,MON,175.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,5
1103,49,BLUE COLLAR,DIVORCED,BASIC 6Y,UNKNOWN,NO,NO,CELLULAR,7,MON,1065.0,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,1,2
1104,55,ADMIN ,MARRIED,BASIC 9Y,NO,YES,YES,CELLULAR,11,THU,430.0,2.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,3
1105,50,TECHNICIAN,MARRIED,HIGH SCHOOL,NO,YES,NO,CELLULAR,12,MON,229.0,1.0,999,1,FAILURE,-3.0,92.713,-33.0,0.7170000000000001,5023.5,1,4
1106,37,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,5,WED,51.0,4.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,5
1107,35,BLUE COLLAR,DIVORCED,BASIC 9Y,NO,UNKNOWN,UNKNOWN,TELEPHONE,6,MON,276.0,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.96,5228.1,0,3
1108,58,UNKNOWN,MARRIED,BASIC 9Y,NO,YES,NO,CELLULAR,12,THU,154.0,1.0,999,1,FAILURE,-3.0,92.713,-33.0,0.72,5023.5,1,3
1109,32,ENTREPRENEURS,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,MON,95.0,5.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,0,5
1110,35,RETIRED,SINGLE,BASIC 9Y,UNKNOWN,YES,YES,TELEPHONE,5,MON,145.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,3
1111,35,TECHNICIAN,SINGLE,PROFESSIONAL COURSE,NO,YES,NO,CELLULAR,5,MON,213.0,4.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,6
1112,26,ADMIN ,SINGLE,HIGH SCHOOL,UNKNOWN,NO,NO,CELLULAR,5,THU,136.0,3.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,4
1113,47,BLUE COLLAR,MARRIED,PROFESSIONAL COURSE,NO,YES,NO,CELLULAR,4,TUE,225.0,4.0,999,1,FAILURE,-1.8,93.075,-47.1,1.423,5099.1,0,6
1114,29,BLUE COLLAR,SINGLE,BASIC 9Y,NO,NO,NO,CELLULAR,5,WED,68.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,3
1115,37,ENTREPRENEURS,SINGLE,BASIC 9Y,NO,YES,NO,CELLULAR,5,TUE,222.0,1.0,2,1,SUCCESS,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,3
1116,32,TECHNICIAN,SINGLE,HIGH SCHOOL,NO,NO,NO,TELEPHONE,7,WED,239.0,11.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.963,5228.1,0,4
1117,46,SERVICES,MARRIED,HIGH SCHOOL,NO,YES,NO,CELLULAR,7,MON,181.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.96,5228.1,0,4
1118,36,SERVICES,MARRIED,HIGH SCHOOL,NO,NO,YES,TELEPHONE,5,WED,166.0,5.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.859,5191.0,0,4
1119,35,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,6,THU,121.0,4.0,999,0,NONEXISTENT,-2.9,92.963,-40.8,1.26,5076.2,1,5
1120,31,SELF EMPLOYED,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,7,TUE,242.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,5
1121,29,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,MON,716.0,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,1,5
1122,46,HOUSEMAID,MARRIED,BASIC 4Y,UNKNOWN,NO,NO,CELLULAR,7,FRI,550.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.963,5228.1,0,1
1123,85,HOUSEMAID,DIVORCED,BASIC 4Y,UNKNOWN,YES,NO,TELEPHONE,10,FRI,181.0,2.0,999,0,NONEXISTENT,-3.4,92.431,-26.9,0.7390000000000001,5017.5,0,1
1124,29,TECHNICIAN,SINGLE,BASIC 9Y,NO,NO,NO,CELLULAR,5,THU,20.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,3
1125,31,MANAGEMENT,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,5,THU,165.0,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,5
1126,34,BLUE COLLAR,MARRIED,BASIC 4Y,NO,YES,NO,CELLULAR,7,THU,54.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.958,5228.1,0,1
1127,29,TECHNICIAN,SINGLE,PROFESSIONAL COURSE,NO,YES,YES,CELLULAR,11,FRI,215.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.021,5195.8,0,6
1128,46,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,7,TUE,62.0,7.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,5
1129,29,BLUE COLLAR,DIVORCED,HIGH SCHOOL,NO,NO,NO,CELLULAR,5,FRI,760.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.25,5099.1,1,4
1130,54,BLUE COLLAR,SINGLE,BASIC 4Y,NO,NO,NO,TELEPHONE,5,THU,253.0,3.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.86,5191.0,0,1
1131,26,MANAGEMENT,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,11,MON,112.0,5.0,999,0,NONEXISTENT,-1.1,94.76700000000001,-50.8,1.0390000000000001,4963.6,0,5
1132,27,ADMIN ,MARRIED,PROFESSIONAL COURSE,NO,YES,NO,CELLULAR,5,THU,143.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,6
1133,57,MANAGEMENT,MARRIED,BASIC 4Y,UNKNOWN,YES,NO,CELLULAR,5,FRI,10.0,5.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,1
1134,32,TECHNICIAN,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,8,WED,158.0,5.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,0,5
1135,35,SERVICES,MARRIED,HIGH SCHOOL,NO,YES,NO,TELEPHONE,5,TUE,87.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,0,4
1136,32,BLUE COLLAR,SINGLE,HIGH SCHOOL,NO,UNKNOWN,UNKNOWN,CELLULAR,11,WED,77.0,2.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.12,5195.8,0,4
1137,59,RETIRED,MARRIED,BASIC 9Y,NO,NO,NO,CELLULAR,7,MON,551.0,4.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,3
1138,29,BLUE COLLAR,MARRIED,BASIC 9Y,NO,YES,NO,CELLULAR,5,THU,193.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,3
1139,37,ADMIN ,MARRIED,HIGH SCHOOL,NO,NO,YES,TELEPHONE,5,THU,155.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.86,5191.0,0,4
1140,40,ADMIN ,MARRIED,HIGH SCHOOL,UNKNOWN,NO,NO,TELEPHONE,6,TUE,675.0,5.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,0,4
1141,55,ADMIN ,MARRIED,PROFESSIONAL COURSE,NO,YES,YES,CELLULAR,8,TUE,482.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.968,5228.1,0,6
1142,33,HOUSEMAID,SINGLE,UNIVERSITY DEGREE,UNKNOWN,YES,NO,CELLULAR,8,WED,46.0,3.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.967,5228.1,0,5
1143,36,ADMIN ,SINGLE,HIGH SCHOOL,NO,NO,NO,CELLULAR,4,FRI,193.0,3.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.405,5099.1,0,4
1144,59,ADMIN ,MARRIED,HIGH SCHOOL,NO,NO,NO,TELEPHONE,6,MON,204.0,4.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.96,5228.1,0,4
1145,34,BLUE COLLAR,SINGLE,BASIC 9Y,NO,NO,NO,CELLULAR,5,THU,484.0,3.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,3
1146,30,SELF EMPLOYED,MARRIED,PROFESSIONAL COURSE,NO,NO,NO,CELLULAR,5,TUE,34.0,2.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,6
1147,29,ADMIN ,MARRIED,HIGH SCHOOL,NO,NO,NO,CELLULAR,7,THU,48.0,7.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.958,5228.1,0,4
1148,34,BLUE COLLAR,SINGLE,BASIC 9Y,NO,NO,NO,CELLULAR,5,MON,281.0,2.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,3
1149,47,BLUE COLLAR,SINGLE,BASIC 4Y,UNKNOWN,YES,NO,TELEPHONE,5,WED,162.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,0,1
1150,41,ENTREPRENEURS,MARRIED,BASIC 4Y,NO,YES,NO,TELEPHONE,7,FRI,89.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.959,5228.1,0,1
1151,30,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,6,WED,107.0,1.0,999,0,NONEXISTENT,-2.9,92.963,-40.8,1.26,5076.2,0,5
1152,33,ADMIN ,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,CELLULAR,8,TUE,68.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.963,5228.1,0,4
1153,33,UNEMPLOYED,SINGLE,UNKNOWN,NO,NO,NO,CELLULAR,7,TUE,211.0,6.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,-1
1154,33,SERVICES,MARRIED,HIGH SCHOOL,NO,UNKNOWN,UNKNOWN,CELLULAR,5,FRI,333.0,1.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,4
1155,59,RETIRED,MARRIED,BASIC 4Y,NO,YES,YES,CELLULAR,8,THU,265.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1
1156,29,SERVICES,MARRIED,BASIC 9Y,NO,YES,NO,TELEPHONE,5,WED,94.0,3.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,3
1157,36,ADMIN ,MARRIED,HIGH SCHOOL,NO,NO,NO,TELEPHONE,5,TUE,369.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,0,4
1158,41,ADMIN ,SINGLE,UNKNOWN,UNKNOWN,YES,NO,CELLULAR,4,FRI,464.0,2.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.405,5099.1,0,-1
1159,55,TECHNICIAN,MARRIED,BASIC 9Y,UNKNOWN,NO,NO,TELEPHONE,6,MON,362.0,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.865,5228.1,0,3
1160,39,ENTREPRENEURS,MARRIED,PROFESSIONAL COURSE,NO,YES,NO,CELLULAR,11,THU,997.0,2.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,6
1161,48,SERVICES,MARRIED,BASIC 6Y,NO,NO,NO,CELLULAR,7,WED,69.0,6.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.963,5228.1,0,2
1162,56,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,7,FRI,177.0,5.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.957,5228.1,0,5
1163,63,TECHNICIAN,MARRIED,UNKNOWN,NO,YES,NO,CELLULAR,8,TUE,173.0,1.0,999,0,NONEXISTENT,-2.9,92.20100000000001,-31.4,0.838,5076.2,0,-1
1164,50,SELF EMPLOYED,MARRIED,BASIC 9Y,UNKNOWN,NO,NO,CELLULAR,5,THU,287.0,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,3
1165,42,BLUE COLLAR,MARRIED,BASIC 6Y,UNKNOWN,YES,NO,TELEPHONE,5,MON,454.0,3.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2
1166,43,UNEMPLOYED,MARRIED,UNIVERSITY DEGREE,UNKNOWN,NO,NO,TELEPHONE,6,MON,114.0,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.865,5228.1,0,5
1167,32,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,11,THU,51.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,5
1168,28,BLUE COLLAR,SINGLE,BASIC 9Y,NO,NO,NO,CELLULAR,4,MON,218.0,1.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.392,5099.1,0,3
1169,26,BLUE COLLAR,MARRIED,PROFESSIONAL COURSE,NO,YES,NO,CELLULAR,5,THU,649.0,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,6
1170,24,ADMIN ,SINGLE,HIGH SCHOOL,UNKNOWN,YES,NO,CELLULAR,7,THU,470.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.958,5228.1,0,4
1171,38,BLUE COLLAR,DIVORCED,UNKNOWN,NO,NO,NO,TELEPHONE,6,FRI,278.0,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.967,5228.1,0,-1
1172,30,SERVICES,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,CELLULAR,11,THU,175.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,4
1173,29,BLUE COLLAR,SINGLE,BASIC 4Y,NO,YES,NO,CELLULAR,5,FRI,13.0,9.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,1
1174,56,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,7,TUE,442.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,5
1175,36,BLUE COLLAR,SINGLE,BASIC 9Y,NO,YES,YES,TELEPHONE,6,THU,762.0,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.955,5228.1,1,3
1176,33,ADMIN ,MARRIED,HIGH SCHOOL,UNKNOWN,YES,NO,CELLULAR,7,TUE,88.0,4.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,4
1177,47,SERVICES,MARRIED,UNKNOWN,NO,NO,NO,TELEPHONE,5,WED,262.0,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,0,-1
1178,50,HOUSEMAID,MARRIED,BASIC 4Y,UNKNOWN,NO,NO,TELEPHONE,5,MON,287.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,1
1179,41,SERVICES,MARRIED,BASIC 9Y,NO,NO,NO,TELEPHONE,5,TUE,335.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,0,3
1180,54,ENTREPRENEURS,DIVORCED,UNKNOWN,NO,NO,YES,CELLULAR,4,THU,461.0,2.0,999,1,FAILURE,-1.8,93.075,-47.1,1.41,5099.1,0,-1
1181,32,BLUE COLLAR,MARRIED,BASIC 9Y,NO,UNKNOWN,UNKNOWN,TELEPHONE,4,FRI,108.0,3.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.479,5099.1,0,3
1182,38,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,TELEPHONE,5,TUE,189.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,5
1183,34,MANAGEMENT,SINGLE,HIGH SCHOOL,NO,YES,YES,CELLULAR,11,WED,201.0,2.0,6,1,SUCCESS,-0.1,93.2,-42.0,4.12,5195.8,0,4
1184,34,BLUE COLLAR,MARRIED,BASIC 9Y,NO,NO,NO,CELLULAR,5,TUE,192.0,3.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,3
1185,55,ADMIN ,MARRIED,UNKNOWN,NO,YES,YES,CELLULAR,11,THU,591.0,3.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,-1
1186,31,SELF EMPLOYED,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,TUE,201.0,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.966,5228.1,0,5
1187,43,TECHNICIAN,MARRIED,PROFESSIONAL COURSE,NO,YES,NO,TELEPHONE,5,TUE,225.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,6
1188,59,UNEMPLOYED,MARRIED,BASIC 4Y,UNKNOWN,YES,NO,CELLULAR,7,THU,458.0,9.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,1,1
1189,53,TECHNICIAN,MARRIED,UNIVERSITY DEGREE,NO,UNKNOWN,UNKNOWN,CELLULAR,4,THU,758.0,2.0,999,2,FAILURE,-1.8,93.749,-34.6,0.64,5008.7,1,5
1190,56,UNEMPLOYED,MARRIED,PROFESSIONAL COURSE,NO,NO,NO,CELLULAR,9,FRI,1551.0,1.0,999,2,FAILURE,-3.4,92.37899999999999,-29.8,0.762,5017.5,0,6
1191,32,ENTREPRENEURS,MARRIED,BASIC 9Y,UNKNOWN,YES,NO,TELEPHONE,7,TUE,258.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,3
1192,36,BLUE COLLAR,MARRIED,BASIC 9Y,UNKNOWN,YES,NO,CELLULAR,7,THU,159.0,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.958,5228.1,0,3
1193,42,BLUE COLLAR,MARRIED,BASIC 9Y,NO,NO,NO,TELEPHONE,5,WED,92.0,5.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,3
1194,29,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,8,MON,209.0,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,0,5
1195,33,SERVICES,MARRIED,HIGH SCHOOL,UNKNOWN,NO,NO,CELLULAR,11,THU,117.0,6.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,4
1196,56,TECHNICIAN,MARRIED,UNKNOWN,NO,NO,NO,TELEPHONE,6,FRI,49.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.967,5228.1,0,-1
1197,31,ENTREPRENEURS,DIVORCED,HIGH SCHOOL,NO,YES,NO,TELEPHONE,5,TUE,168.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,4
1198,34,MANAGEMENT,MARRIED,HIGH SCHOOL,NO,YES,NO,CELLULAR,11,WED,228.0,3.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.12,5195.8,0,4
1199,33,BLUE COLLAR,MARRIED,BASIC 4Y,NO,YES,NO,TELEPHONE,6,FRI,78.0,7.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,0,1
1200,23,HOUSEMAID,SINGLE,BASIC 4Y,NO,NO,YES,CELLULAR,5,THU,9.0,6.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1
1201,26,SERVICES,SINGLE,HIGH SCHOOL,UNKNOWN,YES,YES,TELEPHONE,7,FRI,11.0,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.957,5228.1,0,4
1202,55,MANAGEMENT,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,MON,106.0,6.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,0,5
1203,47,SERVICES,DIVORCED,BASIC 4Y,NO,YES,NO,TELEPHONE,6,FRI,60.0,6.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,0,1
1204,36,BLUE COLLAR,MARRIED,PROFESSIONAL COURSE,UNKNOWN,YES,NO,TELEPHONE,6,FRI,324.0,5.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,0,6
1205,33,BLUE COLLAR,MARRIED,BASIC 6Y,UNKNOWN,YES,YES,TELEPHONE,5,THU,369.0,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.855,5191.0,0,2
1206,60,RETIRED,MARRIED,BASIC 4Y,UNKNOWN,YES,NO,TELEPHONE,5,FRI,557.0,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,1
1207,49,ENTREPRENEURS,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,TELEPHONE,5,FRI,142.0,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.864,5191.0,0,5
1208,35,ADMIN ,MARRIED,HIGH SCHOOL,UNKNOWN,UNKNOWN,UNKNOWN,TELEPHONE,5,WED,35.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.859,5191.0,0,4
1209,47,ADMIN ,DIVORCED,HIGH SCHOOL,NO,NO,NO,CELLULAR,7,MON,480.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.96,5228.1,0,4
1210,30,BLUE COLLAR,SINGLE,BASIC 9Y,NO,NO,NO,TELEPHONE,5,WED,207.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,3
1211,27,BLUE COLLAR,SINGLE,BASIC 9Y,NO,NO,YES,TELEPHONE,6,THU,869.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.8660000000000005,5228.1,0,3
1212,36,ADMIN ,SINGLE,HIGH SCHOOL,NO,NO,NO,CELLULAR,7,TUE,259.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,0,4
1213,46,SERVICES,DIVORCED,HIGH SCHOOL,NO,NO,NO,CELLULAR,5,MON,222.0,3.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,4
1214,30,ENTREPRENEURS,DIVORCED,BASIC 6Y,NO,NO,YES,CELLULAR,5,THU,149.0,1.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,2
1215,88,RETIRED,DIVORCED,BASIC 4Y,NO,YES,YES,CELLULAR,3,WED,82.0,2.0,999,0,NONEXISTENT,-1.8,92.84299999999999,-50.0,1.663,5099.1,0,1
1216,45,SERVICES,DIVORCED,HIGH SCHOOL,UNKNOWN,NO,NO,TELEPHONE,5,MON,166.0,12.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,4
1217,30,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,4,THU,82.0,6.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.483,5099.1,0,5
1218,43,TECHNICIAN,SINGLE,BASIC 9Y,NO,YES,NO,TELEPHONE,6,FRI,461.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.967,5228.1,0,3
1219,48,RETIRED,MARRIED,BASIC 4Y,UNKNOWN,YES,YES,TELEPHONE,7,MON,27.0,17.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,1
